"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2025","521.10","515.45","528.55","509.70","3.75M","1.41%"
"08/28/2025","513.85","526.55","526.55","512.25","2.07M","-1.64%"
"08/26/2025","522.40","518.60","526.80","517.10","3.05M","0.73%"
"08/25/2025","518.60","515.90","520.45","513.45","1.20M","0.51%"
"08/22/2025","515.95","516.00","519.85","514.55","1.60M","0.05%"
"08/21/2025","515.70","535.95","536.45","514.75","6.04M","-3.61%"
"08/20/2025","535.00","522.00","536.40","521.10","12.35M","2.48%"
"08/19/2025","522.05","519.85","522.75","514.00","645.93K","0.57%"
"08/18/2025","519.10","513.90","529.80","512.00","4.81M","3.63%"
"08/14/2025","500.90","504.00","505.50","499.40","1.20M","-0.52%"
"08/13/2025","503.50","503.40","504.95","498.65","864.57K","0.12%"
"08/12/2025","502.90","510.00","510.95","501.25","839.97K","-1.40%"
"08/11/2025","510.05","507.70","511.55","499.30","1.12M","0.55%"
"08/08/2025","507.25","518.00","519.80","506.00","510.39K","-1.92%"
"08/07/2025","517.20","513.75","519.70","512.10","957.31K","0.62%"
"08/06/2025","514.00","524.15","524.15","512.00","931.30K","-2.04%"
"08/05/2025","524.70","529.65","529.65","521.00","2.03M","-0.93%"
"08/04/2025","529.65","534.35","538.85","528.20","2.60M","-0.88%"
"08/01/2025","534.35","533.00","547.70","531.90","8.04M","1.01%"
"07/31/2025","529.00","518.30","531.75","517.15","3.02M","1.34%"
"07/30/2025","522.00","519.05","523.25","517.60","1.62M","0.71%"
"07/29/2025","518.30","524.65","525.60","514.65","2.65M","-0.71%"
"07/28/2025","522.00","507.00","523.95","507.00","2.76M","2.08%"
"07/25/2025","511.35","512.00","514.00","508.35","2.13M","-0.23%"
"07/24/2025","512.55","516.90","516.90","511.00","3.72M","-0.25%"
"07/23/2025","513.85","517.75","518.50","510.85","1.90M","-0.23%"
"07/22/2025","515.05","515.45","516.50","511.00","1.47M","0.10%"
"07/21/2025","514.55","520.10","522.15","513.40","1.17M","-1.54%"
"07/18/2025","522.60","522.45","523.40","518.35","1.62M","-1.15%"
"07/17/2025","528.70","530.00","531.70","526.55","1.54M","0.14%"
"07/16/2025","527.95","527.00","530.35","525.10","2.30M","0.18%"
"07/15/2025","527.00","526.50","528.90","523.15","1.24M","0.15%"
"07/14/2025","526.20","533.50","536.50","524.55","1.43M","-0.88%"
"07/11/2025","530.85","521.50","535.90","518.60","4.51M","1.62%"
"07/10/2025","522.40","523.70","524.40","517.85","2.27M","0.05%"
"07/09/2025","522.15","511.00","523.45","511.00","3.43M","1.76%"
"07/08/2025","513.10","512.50","514.40","510.50","2.00M","0.07%"
"07/07/2025","512.75","501.90","517.70","496.05","10.02M","3.56%"
"07/04/2025","495.10","493.00","497.40","491.60","2.86M","0.71%"
"07/03/2025","491.60","489.50","492.95","487.50","2.98M","0.83%"
"07/02/2025","487.55","484.80","488.40","479.40","2.36M","1.07%"
"07/01/2025","482.40","487.00","489.20","480.70","1.62M","-0.59%"
"06/30/2025","485.25","487.40","487.75","479.40","3.25M","-0.23%"
"06/27/2025","486.35","482.70","488.30","481.60","2.78M","1.00%"
"06/26/2025","481.55","482.00","483.30","478.80","1.41M","0.27%"
"06/25/2025","480.25","476.00","481.50","475.35","2.95M","1.08%"
"06/24/2025","475.10","468.00","475.50","468.00","2.59M","1.63%"
"06/23/2025","467.50","465.65","468.35","463.10","1.57M","0.13%"
"06/20/2025","466.90","465.10","468.60","463.90","2.80M","0.39%"
"06/19/2025","465.10","469.00","470.70","464.00","1.35M","-1.08%"
"06/18/2025","470.20","472.00","474.15","468.05","2.81M","-0.39%"
"06/17/2025","472.05","471.70","474.35","469.15","1.52M","0.07%"
"06/16/2025","471.70","467.60","473.95","465.30","1.94M","1.11%"
"06/13/2025","466.50","468.00","470.05","464.25","3.85M","-1.36%"
"06/12/2025","472.95","487.10","487.80","471.45","3.73M","-2.79%"
"06/11/2025","486.50","490.00","493.70","485.35","2.17M","-0.62%"
"06/10/2025","489.55","486.15","491.40","484.50","1.50M","0.81%"
"06/09/2025","485.60","483.65","486.00","481.35","1.39M","0.90%"
"06/06/2025","481.25","487.40","487.65","480.55","3.47M","-1.52%"
"06/05/2025","488.70","494.30","494.35","487.00","1.79M","-0.64%"
"06/04/2025","491.85","487.00","493.40","484.40","2.32M","1.28%"
"06/03/2025","485.65","484.45","486.80","482.55","1.46M","0.25%"
"06/02/2025","484.45","484.45","490.20","481.55","1.85M","0.31%"
"05/30/2025","482.95","482.00","486.15","478.70","6.30M","0.18%"
"05/29/2025","482.10","484.70","484.85","479.95","1.60M","-0.54%"
"05/28/2025","484.70","484.00","486.80","482.55","1.57M","0.12%"
"05/27/2025","484.10","481.30","485.60","480.40","1.71M","0.79%"
"05/26/2025","480.30","482.00","485.55","479.75","2.58M","-0.34%"
"05/23/2025","481.95","477.95","484.45","477.95","1.50M","1.03%"
"05/22/2025","477.05","482.00","483.10","475.00","1.96M","-0.98%"
"05/21/2025","481.75","477.80","484.90","477.30","1.93M","1.28%"
"05/20/2025","475.65","484.85","486.40","475.00","1.84M","-1.61%"
"05/19/2025","483.45","477.60","484.50","475.10","1.64M","1.43%"
"05/16/2025","476.65","471.20","477.40","467.30","2.43M","1.63%"
"05/15/2025","469.00","469.40","472.50","467.10","2.74M","0.01%"
"05/14/2025","468.95","473.75","474.55","467.00","3.54M","-1.01%"
"05/13/2025","473.75","474.95","479.20","471.70","2.45M","-0.27%"
"05/12/2025","475.05","468.05","476.55","467.00","2.90M","2.66%"
